age,Gender,Purchase_Frequency,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,Purchase_Categories_Beauty and Personal Care,Purchase_Categories_Clothing and Fashion,Purchase_Categories_Groceries and Gourmet Food,Purchase_Categories_others,Purchase_Categories_Home and Kitchen,Day_sin,Day_cos,Hour_sin,Hour_cos
-0.7649333194918324,Female,Less than once a month,0.0,Few times a month,categories,Multiple pages,3.0,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,Sometimes,3,Yes,2.0,4.0,Wide product selection,Reducing packaging waste,1,0,0,0,0,0.7431448254773941,0.6691306063588582,-0.7071067811865477,0.7071067811865474
-0.7649333194918324,Female,Few times a month,1.0,Few times a week,categories,Multiple pages,0.0,Yes,Often,others,Often,No,Heavily,Yes,3,Sometimes,1.0,1.0,User-friendly website/app interface,Shipping speed and reliability,1,1,0,1,0,0.7431448254773941,0.6691306063588582,-0.7071067811865477,0.7071067811865474
-0.6667478486316868,Female,Less than once a month,2.0,Few times a month,Keyword,Multiple pages,3.0,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,Yes,4,Yes,4.0,3.0,Competitive prices,Reducing packaging waste,0,1,0,0,0,0.7431448254773941,0.6691306063588582,-0.7071067811865477,0.7071067811865474
-0.5685623777715411,Female,Few times a month,0.0,Few times a week,Keyword,Multiple pages,4.0,Yes,Often,High shipping costs,Never,Yes,Heavily,Yes,2,Sometimes,2.0,3.0,Wide product selection,Product quality and accuracy,0,1,1,1,0,0.7431448254773941,0.6691306063588582,-0.5000000000000004,0.8660254037844384
-0.7649333194918324,Female,Less than once a month,0.0,Few times a week,Keyword,First page,4.0,Maybe,Often,Changed my mind or no longer need the item,Always,No,Heavily,Yes,4,No,2.0,3.0,Competitive prices,Customer service responsiveness,1,1,1,0,1,0.7431448254773941,0.6691306063588582,-0.5000000000000004,0.8660254037844384
-0.7649333194918324,Female,Less than once a month,0.0,Rarely,others,First page,2.0,No,Never,others,Never,No,Occasionally,Sometimes,5,No,2.0,2.0,Wide product selection,Product quality and accuracy,0,0,0,1,0,0.7431448254773941,0.6691306063588582,-0.5000000000000004,0.8660254037844384
-0.7649333194918324,Female,Less than once a month,2.0,Multiple times a day,Keyword,Multiple pages,0.0,Yes,Often,Found a better price elsewhere,Always,Yes,Heavily,Yes,1,Yes,1.0,0.0,Wide product selection,Reducing packaging waste,1,1,1,0,1,0.7431448254773941,0.6691306063588582,-0.25881904510252157,0.9659258262890681
-0.7649333194918324,Male,Multiple times a week,2.0,Few times a week,Keyword,Multiple pages,0.0,Yes,Often,Found a better price elsewhere,Rarely,Yes,Heavily,Yes,3,Yes,0.0,0.0,Competitive prices,Customer service responsiveness,1,1,1,1,1,0.7431448254773941,0.6691306063588582,-0.25881904510252157,0.9659258262890681
-0.6667478486316868,Female,Less than once a month,1.0,Multiple times a day,Keyword,Multiple pages,0.0,Yes,Rarely,Found a better price elsewhere,Rarely,Yes,Heavily,Yes,3,Sometimes,2.0,0.0,Wide product selection,Product quality and accuracy,0,0,0,1,0,0.7431448254773941,0.6691306063588582,-0.25881904510252157,0.9659258262890681
-0.6667478486316868,Female,Few times a month,0.0,Multiple times a day,Keyword,First page,3.0,Yes,Always,Changed my mind or no longer need the item,Often,No,Occasionally,Sometimes,2,Yes,1.0,0.0,Wide product selection,Shipping speed and reliability,1,1,0,0,1,0.7431448254773941,0.6691306063588582,-0.25881904510252157,0.9659258262890681
-0.7649333194918324,Female,Less than once a month,1.0,Rarely,categories,Multiple pages,0.0,Maybe,Often,Found a better price elsewhere,Rarely,No,Moderately,Yes,2,Sometimes,1.0,1.0,Wide product selection,Reducing packaging waste,1,0,0,0,1,0.7431448254773941,0.6691306063588582,-0.25881904510252157,0.9659258262890681
-0.1758204943309586,Male,Once a month,1.0,Few times a week,categories,Multiple pages,0.0,Yes,Often,Changed my mind or no longer need the item,Often,No,Moderately,Yes,2,Yes,1.0,1.0,Competitive prices,Customer service responsiveness,0,1,0,0,0,0.7431448254773941,0.6691306063588582,-0.25881904510252157,0.9659258262890681
-1.1576752029324149,Female,Few times a month,2.0,Few times a week,Keyword,Multiple pages,4.0,Yes,Always,Found a better price elsewhere,Rarely,Yes,Rarely,Yes,3,Yes,2.0,4.0,Competitive prices,Shipping speed and reliability,0,1,0,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0
-0.4703769069113955,Female,Less than once a month,2.0,Few times a month,Keyword,Multiple pages,0.0,Yes,Sometimes,High shipping costs,Sometimes,Yes,Moderately,Yes,1,Yes,1.0,1.0,Competitive prices,Product quality and accuracy,0,0,0,1,0,0.8660254037844386,0.5000000000000001,0.0,1.0
